"id";"version";"file";"projectfile";"beginline";"endline";"rule";"ruleset";"externalInfoUrl";"package";"class";"function";"priority";"violation";"violation_nonumbers"
"52660";"4.2.2";"indexes.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\indexes.php";"71";"171";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreateIndex";"3";"The function doCreateIndex() has 101 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreateIndex() has  lines of code. Current threshold is set to . Avoid really long methods."
"52711";"4.2.2";"info.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\info.php";"17";"310";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doDefault";"3";"The function doDefault() has 294 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doDefault() has  lines of code. Current threshold is set to . Avoid really long methods."
"52734";"4.2.2";"plugin_slony.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\plugin_slony.php";"33";"418";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doTree";"3";"The function doTree() has 386 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doTree() has  lines of code. Current threshold is set to . Avoid really long methods."
"52898";"4.2.2";"plugin_slony.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\plugin_slony.php";"1548";"1675";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAddTable";"3";"The function doAddTable() has 128 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAddTable() has  lines of code. Current threshold is set to . Avoid really long methods."
"52986";"4.2.2";"privileges.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\privileges.php";"21";"133";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAlter";"3";"The function doAlter() has 113 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAlter() has  lines of code. Current threshold is set to . Avoid really long methods."
"53029";"4.2.2";"privileges.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\privileges.php";"138";"250";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doDefault";"3";"The function doDefault() has 113 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doDefault() has  lines of code. Current threshold is set to . Avoid really long methods."
"53186";"4.2.2";"roles.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\roles.php";"142";"297";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAlter";"3";"The function doAlter() has 156 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAlter() has  lines of code. Current threshold is set to . Avoid really long methods."
"53618";"4.2.2";"tables.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tables.php";"17";"237";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreate";"3";"The function doCreate() has 221 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreate() has  lines of code. Current threshold is set to . Avoid really long methods."
"53718";"4.2.2";"tables.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tables.php";"244";"343";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreateLike";"3";"The function doCreateLike() has 100 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreateLike() has  lines of code. Current threshold is set to . Avoid really long methods."
"53753";"4.2.2";"tables.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tables.php";"348";"452";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doSelectRows";"3";"The function doSelectRows() has 105 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doSelectRows() has  lines of code. Current threshold is set to . Avoid really long methods."
"53789";"4.2.2";"tables.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tables.php";"457";"593";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doInsertRow";"3";"The function doInsertRow() has 137 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doInsertRow() has  lines of code. Current threshold is set to . Avoid really long methods."
"54011";"4.2.2";"tblproperties.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tblproperties.php";"242";"357";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAddColumn";"3";"The function doAddColumn() has 116 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAddColumn() has  lines of code. Current threshold is set to . Avoid really long methods."
"54079";"4.2.2";"tblproperties.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tblproperties.php";"442";"582";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doDefault";"3";"The function doDefault() has 141 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doDefault() has  lines of code. Current threshold is set to . Avoid really long methods."
"54232";"4.2.2";"tests\testcase\Databases\FindObjectsTest.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\tests\testcase\Databases\FindObjectsTest.php";"75";"213";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"FindObjectsTest";;"3";"The method testFindObjsInSchemas() has 139 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method testFindObjsInSchemas() has  lines of code. Current threshold is set to . Avoid really long methods."
"55126";"4.2.2";"types.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\types.php";"131";"274";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreateComposite";"3";"The function doCreateComposite() has 144 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreateComposite() has  lines of code. Current threshold is set to . Avoid really long methods."
"55179";"4.2.2";"types.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\types.php";"279";"394";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreateEnum";"3";"The function doCreateEnum() has 116 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreateEnum() has  lines of code. Current threshold is set to . Avoid really long methods."
"55438";"4.2.2";"views.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\views.php";"19";"123";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doSelectRows";"3";"The function doSelectRows() has 105 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doSelectRows() has  lines of code. Current threshold is set to . Avoid really long methods."
"55494";"4.2.2";"views.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\views.php";"206";"345";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doSetParamsCreate";"3";"The function doSetParamsCreate() has 140 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doSetParamsCreate() has  lines of code. Current threshold is set to . Avoid really long methods."
"55535";"4.2.2";"views.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\views.php";"446";"573";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doSaveCreateWiz";"3";"The function doSaveCreateWiz() has 128 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doSaveCreateWiz() has  lines of code. Current threshold is set to . Avoid really long methods."
"55753";"4.2.3";"classes\Misc.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\Misc.php";"98";"260";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Misc";;"3";"The method printVal() has 163 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method printVal() has  lines of code. Current threshold is set to . Avoid really long methods."
"55813";"4.2.3";"classes\Misc.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\Misc.php";"487";"1053";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Misc";;"3";"The method getNavTabs() has 567 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method getNavTabs() has  lines of code. Current threshold is set to . Avoid really long methods."
"55869";"4.2.3";"classes\Misc.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\Misc.php";"1194";"1381";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Misc";;"3";"The method getTrail() has 188 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method getTrail() has  lines of code. Current threshold is set to . Avoid really long methods."
"55957";"4.2.3";"classes\Misc.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\Misc.php";"1625";"1776";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Misc";;"3";"The method printTable() has 152 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method printTable() has  lines of code. Current threshold is set to . Avoid really long methods."
"56187";"4.2.3";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres.php";"747";"857";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method createTable() has 111 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method createTable() has  lines of code. Current threshold is set to . Avoid really long methods."
"56200";"4.2.3";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres.php";"986";"1284";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method getTableDefPrefix() has 299 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method getTableDefPrefix() has  lines of code. Current threshold is set to . Avoid really long methods."
"56282";"4.2.3";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres.php";"3325";"3442";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method _parseACL() has 118 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method _parseACL() has  lines of code. Current threshold is set to . Avoid really long methods."
"56370";"4.2.3";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres.php";"4448";"4592";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method findObject() has 145 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method findObject() has  lines of code. Current threshold is set to . Avoid really long methods."
"56379";"4.2.3";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres.php";"4630";"4865";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method executeScript() has 236 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method executeScript() has  lines of code. Current threshold is set to . Avoid really long methods."
"56538";"4.2.3";"classes\database\Postgres73.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres73.php";"1810";"1914";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres73";;"3";"The method getConstraintsWithFields() has 105 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method getConstraintsWithFields() has  lines of code. Current threshold is set to . Avoid really long methods."
"56568";"4.2.3";"classes\database\Postgres73.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\database\Postgres73.php";"2221";"2353";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres73";;"3";"The method findObject() has 133 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method findObject() has  lines of code. Current threshold is set to . Avoid really long methods."
"56709";"4.2.3";"classes\plugins\Slony.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\classes\plugins\Slony.php";"168";"270";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Slony";;"3";"The method initCluster() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method initCluster() has  lines of code. Current threshold is set to . Avoid really long methods."
"56856";"4.2.3";"colproperties.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\colproperties.php";"23";"172";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAlter";"3";"The function doAlter() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAlter() has  lines of code. Current threshold is set to . Avoid really long methods."
"56953";"4.2.3";"constraints.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\constraints.php";"18";"215";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"addForeignKey";"3";"The function addForeignKey() has 198 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function addForeignKey() has  lines of code. Current threshold is set to . Avoid really long methods."
"57015";"4.2.3";"constraints.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\constraints.php";"220";"341";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"addPrimaryOrUniqueKey";"3";"The function addPrimaryOrUniqueKey() has 122 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function addPrimaryOrUniqueKey() has  lines of code. Current threshold is set to . Avoid really long methods."
"57095";"4.2.3";"database.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\database.php";"35";"325";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doFind";"3";"The function doFind() has 291 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doFind() has  lines of code. Current threshold is set to . Avoid really long methods."
"57153";"4.2.3";"database.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\database.php";"546";"712";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAdmin";"3";"The function doAdmin() has 167 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAdmin() has  lines of code. Current threshold is set to . Avoid really long methods."
"57246";"4.2.3";"display.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\display.php";"28";"199";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doEditRow";"3";"The function doEditRow() has 172 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doEditRow() has  lines of code. Current threshold is set to . Avoid really long methods."
"57320";"4.2.3";"display.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\display.php";"253";"475";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doBrowse";"3";"The function doBrowse() has 223 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doBrowse() has  lines of code. Current threshold is set to . Avoid really long methods."
"57761";"4.2.3";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\functions.php";"58";"227";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doEdit";"3";"The function doEdit() has 170 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doEdit() has  lines of code. Current threshold is set to . Avoid really long methods."
"57812";"4.2.3";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\functions.php";"232";"334";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doProperties";"3";"The function doProperties() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doProperties() has  lines of code. Current threshold is set to . Avoid really long methods."
"57857";"4.2.3";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\functions.php";"420";"635";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreate";"3";"The function doCreate() has 216 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreate() has  lines of code. Current threshold is set to . Avoid really long methods."
"58012";"4.2.3";"indexes.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\indexes.php";"71";"171";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreateIndex";"3";"The function doCreateIndex() has 101 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreateIndex() has  lines of code. Current threshold is set to . Avoid really long methods."
"58063";"4.2.3";"info.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.3\info.php";"17";"310";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doDefault";"3";"The function doDefault() has 294 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doDefault() has  lines of code. Current threshold is set to . Avoid really long methods."
